 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7736  | 7736
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6963
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7736
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/20  12:02:06.34
 Epoch     55/   200; Mu= 1.E-03; Perform= 5.403E+00 2.315E+01 / 8.915E+00 4.347E+01 meV; Val= 0/15
 Epoch     56/   200; Mu= 1.E-03; Perform= 5.367E+00 2.307E+01 / 9.117E+00 4.276E+01 meV; Val= 1/15
 Epoch     57/   200; Mu= 1.E-03; Perform= 5.362E+00 2.271E+01 / 8.775E+00 4.220E+01 meV; Val= 0/15
 Epoch     58/   200; Mu= 1.E-03; Perform= 5.347E+00 2.256E+01 / 9.550E+00 4.449E+01 meV; Val= 1/15
 Epoch     59/   200; Mu= 1.E-02; Perform= 5.325E+00 2.215E+01 / 9.619E+00 4.471E+01 meV; Val= 2/15
 Epoch     60/   200; Mu= 1.E-03; Perform= 5.258E+00 2.196E+01 / 9.928E+00 4.562E+01 meV; Val= 3/15
 Epoch     61/   200; Mu= 1.E-01; Perform= 5.230E+00 2.189E+01 / 1.013E+01 4.692E+01 meV; Val= 4/15
 Epoch     62/   200; Mu= 1.E-01; Perform= 5.228E+00 2.184E+01 / 1.012E+01 4.684E+01 meV; Val= 0/15
 Epoch     63/   200; Mu= 1.E+00; Perform= 5.223E+00 2.186E+01 / 1.018E+01 4.716E+01 meV; Val= 1/15
 Epoch     64/   200; Mu= 1.E+00; Perform= 5.222E+00 2.184E+01 / 1.018E+01 4.728E+01 meV; Val= 0/15
 Epoch     65/   200; Mu= 1.E+00; Perform= 5.221E+00 2.186E+01 / 1.021E+01 4.735E+01 meV; Val= 1/15
 Epoch     66/   200; Mu= 1.E+00; Perform= 5.220E+00 2.185E+01 / 1.020E+01 4.742E+01 meV; Val= 0/15
 Epoch     67/   200; Mu= 1.E+00; Perform= 5.220E+00 2.186E+01 / 1.022E+01 4.745E+01 meV; Val= 1/15
 Epoch     68/   200; Mu= 1.E-01; Perform= 5.219E+00 2.185E+01 / 1.023E+01 4.758E+01 meV; Val= 2/15
 Epoch     69/   200; Mu= 1.E+00; Perform= 5.218E+00 2.185E+01 / 1.026E+01 4.759E+01 meV; Val= 3/15
 Epoch     70/   200; Mu= 1.E-01; Perform= 5.217E+00 2.185E+01 / 1.030E+01 4.776E+01 meV; Val= 4/15
 Epoch     71/   200; Mu= 1.E-02; Perform= 5.212E+00 2.182E+01 / 1.045E+01 4.814E+01 meV; Val= 5/15
 Epoch     72/   200; Mu= 1.E-01; Perform= 5.212E+00 2.181E+01 / 1.049E+01 4.817E+01 meV; Val= 6/15
 Epoch     73/   200; Mu= 1.E-02; Perform= 5.210E+00 2.178E+01 / 1.057E+01 4.865E+01 meV; Val= 7/15
 Epoch     74/   200; Mu= 1.E-01; Perform= 5.207E+00 2.178E+01 / 1.060E+01 4.864E+01 meV; Val= 8/15
 Epoch     75/   200; Mu= 1.E-02; Perform= 5.204E+00 2.176E+01 / 1.070E+01 4.929E+01 meV; Val= 9/15
 Epoch     76/   200; Mu= 1.E-01; Perform= 5.203E+00 2.175E+01 / 1.073E+01 4.923E+01 meV; Val=10/15
 Epoch     77/   200; Mu= 1.E-02; Perform= 5.199E+00 2.173E+01 / 1.083E+01 4.983E+01 meV; Val=11/15
 Epoch     78/   200; Mu= 1.E-01; Perform= 5.198E+00 2.173E+01 / 1.085E+01 4.976E+01 meV; Val=12/15
 Epoch     79/   200; Mu= 1.E-02; Perform= 5.194E+00 2.171E+01 / 1.095E+01 5.035E+01 meV; Val=13/15
 Epoch     80/   200; Mu= 1.E-02; Perform= 5.194E+00 2.168E+01 / 1.103E+01 5.043E+01 meV; Val=14/15
 Epoch     81/   200; Mu= 1.E-03; Perform= 5.186E+00 2.161E+01 / 1.143E+01 5.273E+01 meV; Val=15/15
 Total rmse_01=  25.5784 meV; Total force rmse_=  28.5485 meV/angstrom; train=  21.8453; validation=  47.4233force train=  25.2821; force validation=  48.9787
 2025/10/20  19:26:45.71
 2025/10/20  19:26:45.71
 Epoch      1/   200; Mu= 1.E-02; Perform= 2.011E+01 1.405E+02 / 2.178E+01 1.610E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-01; Perform= 1.885E+01 1.208E+02 / 2.085E+01 1.472E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.702E+01 1.066E+02 / 1.923E+01 1.315E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-01; Perform= 1.552E+01 9.700E+01 / 1.739E+01 1.091E+02 meV; Val= 0/15
