 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   84   84
 1 7685  | 7685
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        6916
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    84   252  7685
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/10/17  21:16:20.09
 Epoch     88/   200; Mu= 1.E-02; Perform= 5.224E+00 2.142E+01 / 8.451E+00 5.223E+01 meV; Val=15/15
 Total rmse_01=  25.5779 meV; Total force rmse_=  27.3563 meV/angstrom; train=  22.0767; validation=  46.4193force train=  25.7888; force validation=  38.6983
 2025/10/18  02:48:46.98
 2025/10/18  02:48:46.98
 Epoch      1/   200; Mu= 1.E-01; Perform= 2.010E+01 1.389E+02 / 2.004E+01 1.385E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-01; Perform= 1.987E+01 1.328E+02 / 1.980E+01 1.346E+02 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-01; Perform= 1.811E+01 1.160E+02 / 1.849E+01 1.205E+02 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E+00; Perform= 1.651E+01 1.026E+02 / 1.745E+01 1.225E+02 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E+00; Perform= 1.587E+01 9.383E+01 / 1.699E+01 1.265E+02 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E+00; Perform= 1.480E+01 8.710E+01 / 1.514E+01 9.930E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E+00; Perform= 1.374E+01 7.829E+01 / 1.402E+01 8.931E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E+00; Perform= 1.246E+01 7.089E+01 / 1.299E+01 8.480E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E+00; Perform= 1.156E+01 6.606E+01 / 1.232E+01 7.630E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E+00; Perform= 1.105E+01 6.347E+01 / 1.191E+01 7.267E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E+00; Perform= 1.058E+01 6.106E+01 / 1.168E+01 7.029E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E+00; Perform= 1.024E+01 5.923E+01 / 1.147E+01 6.919E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E+00; Perform= 9.983E+00 5.777E+01 / 1.119E+01 6.768E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E+00; Perform= 9.789E+00 5.661E+01 / 1.104E+01 6.695E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 9.784E+00 5.737E+01 / 1.099E+01 6.892E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 9.032E+00 5.268E+01 / 1.086E+01 8.063E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 8.605E+00 4.925E+01 / 1.080E+01 7.864E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 8.161E+00 4.585E+01 / 1.067E+01 8.372E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-01; Perform= 7.892E+00 4.349E+01 / 1.073E+01 9.076E+01 meV; Val= 1/15
 Epoch     20/   200; Mu= 1.E-01; Perform= 7.690E+00 4.171E+01 / 1.058E+01 9.002E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-01; Perform= 7.526E+00 4.055E+01 / 1.047E+01 9.114E+01 meV; Val= 0/15
