 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:29:06.88
 Epoch     22/   200; Mu= 1.E-02; Perform= 4.198E+00 1.561E+01 / 4.521E+00 1.861E+01 meV; Val= 1/15
 Epoch     23/   200; Mu= 1.E-02; Perform= 4.175E+00 1.547E+01 / 4.523E+00 1.847E+01 meV; Val= 2/15
 Epoch     24/   200; Mu= 1.E-02; Perform= 4.153E+00 1.537E+01 / 4.536E+00 1.837E+01 meV; Val= 3/15
 Epoch     25/   200; Mu= 1.E-02; Perform= 4.131E+00 1.527E+01 / 4.518E+00 1.829E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-02; Perform= 4.108E+00 1.519E+01 / 4.499E+00 1.824E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-02; Perform= 4.083E+00 1.516E+01 / 4.473E+00 1.822E+01 meV; Val= 0/15
 Epoch     28/   200; Mu= 1.E-02; Perform= 4.051E+00 1.524E+01 / 4.456E+00 1.834E+01 meV; Val= 0/15
 Epoch     29/   200; Mu= 1.E-02; Perform= 4.013E+00 1.519E+01 / 4.442E+00 1.847E+01 meV; Val= 0/15
 Epoch     30/   200; Mu= 1.E-02; Perform= 3.982E+00 1.506E+01 / 4.431E+00 1.843E+01 meV; Val= 0/15
 Epoch     31/   200; Mu= 1.E-02; Perform= 3.958E+00 1.492E+01 / 4.420E+00 1.830E+01 meV; Val= 0/15
 Epoch     32/   200; Mu= 1.E-02; Perform= 3.938E+00 1.479E+01 / 4.413E+00 1.826E+01 meV; Val= 0/15
 Epoch     33/   200; Mu= 1.E-02; Perform= 3.921E+00 1.467E+01 / 4.407E+00 1.818E+01 meV; Val= 0/15
 Epoch     34/   200; Mu= 1.E-02; Perform= 3.905E+00 1.454E+01 / 4.402E+00 1.813E+01 meV; Val= 0/15
 Epoch     35/   200; Mu= 1.E-02; Perform= 3.891E+00 1.442E+01 / 4.398E+00 1.808E+01 meV; Val= 0/15
 Epoch     36/   200; Mu= 1.E-02; Perform= 3.877E+00 1.431E+01 / 4.392E+00 1.801E+01 meV; Val= 0/15
 Epoch     37/   200; Mu= 1.E-02; Perform= 3.864E+00 1.420E+01 / 4.384E+00 1.792E+01 meV; Val= 0/15
 Epoch     38/   200; Mu= 1.E-02; Perform= 3.852E+00 1.410E+01 / 4.375E+00 1.780E+01 meV; Val= 0/15
 Epoch     39/   200; Mu= 1.E-02; Perform= 3.841E+00 1.401E+01 / 4.365E+00 1.768E+01 meV; Val= 0/15
 Epoch     40/   200; Mu= 1.E-02; Perform= 3.831E+00 1.393E+01 / 4.354E+00 1.756E+01 meV; Val= 0/15
 Epoch     41/   200; Mu= 1.E-02; Perform= 3.822E+00 1.385E+01 / 4.342E+00 1.744E+01 meV; Val= 0/15
 Epoch     42/   200; Mu= 1.E-02; Perform= 3.813E+00 1.378E+01 / 4.331E+00 1.734E+01 meV; Val= 0/15
 Epoch     43/   200; Mu= 1.E-02; Perform= 3.805E+00 1.372E+01 / 4.320E+00 1.726E+01 meV; Val= 0/15
 Epoch     44/   200; Mu= 1.E-02; Perform= 3.798E+00 1.366E+01 / 4.312E+00 1.720E+01 meV; Val= 0/15
 Epoch     45/   200; Mu= 1.E-02; Perform= 3.791E+00 1.361E+01 / 4.305E+00 1.716E+01 meV; Val= 0/15
 Epoch     46/   200; Mu= 1.E-02; Perform= 3.784E+00 1.356E+01 / 4.299E+00 1.714E+01 meV; Val= 0/15
 Epoch     47/   200; Mu= 1.E-02; Perform= 3.778E+00 1.351E+01 / 4.294E+00 1.714E+01 meV; Val= 0/15
 Epoch     48/   200; Mu= 1.E-02; Perform= 3.772E+00 1.347E+01 / 4.289E+00 1.715E+01 meV; Val= 0/15
 Epoch     49/   200; Mu= 1.E-02; Perform= 3.766E+00 1.343E+01 / 4.285E+00 1.717E+01 meV; Val= 0/15
 Epoch     50/   200; Mu= 1.E-02; Perform= 3.760E+00 1.339E+01 / 4.280E+00 1.720E+01 meV; Val= 0/15
 Epoch     51/   200; Mu= 1.E-02; Perform= 3.754E+00 1.336E+01 / 4.276E+00 1.723E+01 meV; Val= 0/15
 Epoch     52/   200; Mu= 1.E-02; Perform= 3.748E+00 1.332E+01 / 4.272E+00 1.728E+01 meV; Val= 0/15
 Epoch     53/   200; Mu= 1.E-02; Perform= 3.742E+00 1.329E+01 / 4.268E+00 1.732E+01 meV; Val= 0/15
 Epoch     54/   200; Mu= 1.E-02; Perform= 3.736E+00 1.325E+01 / 4.265E+00 1.736E+01 meV; Val= 0/15
 Epoch     55/   200; Mu= 1.E-02; Perform= 3.730E+00 1.322E+01 / 4.263E+00 1.739E+01 meV; Val= 0/15
 Epoch     56/   200; Mu= 1.E-02; Perform= 3.725E+00 1.320E+01 / 4.261E+00 1.743E+01 meV; Val= 0/15
 Epoch     57/   200; Mu= 1.E-02; Perform= 3.720E+00 1.317E+01 / 4.260E+00 1.746E+01 meV; Val= 0/15
 Epoch     58/   200; Mu= 1.E-02; Perform= 3.716E+00 1.314E+01 / 4.261E+00 1.751E+01 meV; Val= 1/15
 Epoch     59/   200; Mu= 1.E-02; Perform= 3.711E+00 1.311E+01 / 4.262E+00 1.755E+01 meV; Val= 2/15
 Epoch     60/   200; Mu= 1.E-02; Perform= 3.707E+00 1.308E+01 / 4.264E+00 1.760E+01 meV; Val= 3/15
 Epoch     61/   200; Mu= 1.E-02; Perform= 3.703E+00 1.305E+01 / 4.267E+00 1.766E+01 meV; Val= 4/15
 Epoch     62/   200; Mu= 1.E-02; Perform= 3.699E+00 1.303E+01 / 4.271E+00 1.772E+01 meV; Val= 5/15
 Epoch     63/   200; Mu= 1.E-02; Perform= 3.695E+00 1.300E+01 / 4.276E+00 1.779E+01 meV; Val= 6/15
 Epoch     64/   200; Mu= 1.E-02; Perform= 3.691E+00 1.298E+01 / 4.282E+00 1.786E+01 meV; Val= 7/15
 Epoch     65/   200; Mu= 1.E-02; Perform= 3.687E+00 1.295E+01 / 4.289E+00 1.794E+01 meV; Val= 8/15
 Epoch     66/   200; Mu= 1.E-02; Perform= 3.684E+00 1.293E+01 / 4.296E+00 1.802E+01 meV; Val= 9/15
 Epoch     67/   200; Mu= 1.E-02; Perform= 3.680E+00 1.291E+01 / 4.304E+00 1.809E+01 meV; Val=10/15
 Epoch     68/   200; Mu= 1.E-02; Perform= 3.677E+00 1.288E+01 / 4.313E+00 1.817E+01 meV; Val=11/15
 Epoch     69/   200; Mu= 1.E-02; Perform= 3.674E+00 1.286E+01 / 4.321E+00 1.824E+01 meV; Val=12/15
 Epoch     70/   200; Mu= 1.E-02; Perform= 3.671E+00 1.285E+01 / 4.330E+00 1.830E+01 meV; Val=13/15
 Epoch     71/   200; Mu= 1.E-02; Perform= 3.668E+00 1.283E+01 / 4.338E+00 1.836E+01 meV; Val=14/15
 Epoch     72/   200; Mu= 1.E-02; Perform= 3.665E+00 1.281E+01 / 4.345E+00 1.841E+01 meV; Val=15/15
 Total rmse_02=  13.6569 meV; Total force rmse_=  18.2351 meV/angstrom; train=  13.1660; validation=  17.4645force train=  17.9785; force validation=  20.3996
 2025/07/27  03:57:01.63
 2025/07/27  03:57:01.63
 Epoch      1/   200; Mu= 1.E-02; Perform= 1.668E+01 1.129E+02 / 1.659E+01 1.091E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-03; Perform= 1.559E+01 9.839E+01 / 1.473E+01 9.903E+01 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-02; Perform= 1.249E+01 7.619E+01 / 1.207E+01 6.789E+01 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-02; Perform= 1.080E+01 6.854E+01 / 1.078E+01 6.219E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-02; Perform= 9.421E+00 6.031E+01 / 9.988E+00 5.760E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-02; Perform= 8.930E+00 5.218E+01 / 9.315E+00 4.749E+01 meV; Val= 0/15
 Epoch      7/   200; Mu= 1.E-02; Perform= 8.695E+00 5.201E+01 / 9.313E+00 4.292E+01 meV; Val= 0/15
 Epoch      8/   200; Mu= 1.E-02; Perform= 7.649E+00 4.383E+01 / 8.699E+00 4.216E+01 meV; Val= 0/15
 Epoch      9/   200; Mu= 1.E-01; Perform= 5.468E+00 2.624E+01 / 7.211E+00 2.775E+01 meV; Val= 0/15
 Epoch     10/   200; Mu= 1.E-01; Perform= 4.854E+00 2.084E+01 / 6.767E+00 2.301E+01 meV; Val= 0/15
 Epoch     11/   200; Mu= 1.E-01; Perform= 4.767E+00 2.010E+01 / 6.723E+00 2.248E+01 meV; Val= 0/15
 Epoch     12/   200; Mu= 1.E-01; Perform= 4.730E+00 1.984E+01 / 6.690E+00 2.228E+01 meV; Val= 0/15
 Epoch     13/   200; Mu= 1.E-01; Perform= 4.703E+00 1.964E+01 / 6.669E+00 2.214E+01 meV; Val= 0/15
 Epoch     14/   200; Mu= 1.E-01; Perform= 4.680E+00 1.947E+01 / 6.651E+00 2.199E+01 meV; Val= 0/15
 Epoch     15/   200; Mu= 1.E-01; Perform= 4.660E+00 1.932E+01 / 6.635E+00 2.185E+01 meV; Val= 0/15
 Epoch     16/   200; Mu= 1.E-01; Perform= 4.641E+00 1.919E+01 / 6.622E+00 2.171E+01 meV; Val= 0/15
 Epoch     17/   200; Mu= 1.E-01; Perform= 4.624E+00 1.906E+01 / 6.610E+00 2.157E+01 meV; Val= 0/15
 Epoch     18/   200; Mu= 1.E-01; Perform= 4.608E+00 1.894E+01 / 6.599E+00 2.144E+01 meV; Val= 0/15
 Epoch     19/   200; Mu= 1.E-02; Perform= 4.607E+00 1.953E+01 / 6.598E+00 2.158E+01 meV; Val= 0/15
 Epoch     20/   200; Mu= 1.E-02; Perform= 4.499E+00 1.828E+01 / 6.545E+00 2.070E+01 meV; Val= 0/15
 Epoch     21/   200; Mu= 1.E-02; Perform= 4.439E+00 1.772E+01 / 6.499E+00 2.041E+01 meV; Val= 0/15
 Epoch     22/   200; Mu= 1.E-02; Perform= 4.385E+00 1.723E+01 / 6.461E+00 1.975E+01 meV; Val= 0/15
 Epoch     23/   200; Mu= 1.E-02; Perform= 4.342E+00 1.680E+01 / 6.431E+00 1.951E+01 meV; Val= 0/15
 Epoch     24/   200; Mu= 1.E-02; Perform= 4.306E+00 1.647E+01 / 6.417E+00 1.946E+01 meV; Val= 0/15
 Epoch     25/   200; Mu= 1.E-02; Perform= 4.269E+00 1.616E+01 / 6.399E+00 1.944E+01 meV; Val= 0/15
 Epoch     26/   200; Mu= 1.E-02; Perform= 4.238E+00 1.594E+01 / 6.390E+00 1.934E+01 meV; Val= 0/15
 Epoch     27/   200; Mu= 1.E-02; Perform= 4.210E+00 1.580E+01 / 6.379E+00 1.922E+01 meV; Val= 0/15
 Epoch     28/   200; Mu= 1.E-02; Perform= 4.184E+00 1.567E+01 / 6.373E+00 1.904E+01 meV; Val= 0/15
 Epoch     29/   200; Mu= 1.E-02; Perform= 4.159E+00 1.554E+01 / 6.369E+00 1.892E+01 meV; Val= 0/15
 Epoch     30/   200; Mu= 1.E-02; Perform= 4.134E+00 1.542E+01 / 6.366E+00 1.882E+01 meV; Val= 0/15
 Epoch     31/   200; Mu= 1.E-02; Perform= 4.111E+00 1.531E+01 / 6.362E+00 1.873E+01 meV; Val= 0/15
 Epoch     32/   200; Mu= 1.E-02; Perform= 4.086E+00 1.522E+01 / 6.360E+00 1.874E+01 meV; Val= 0/15
 Epoch     33/   200; Mu= 1.E-02; Perform= 4.061E+00 1.514E+01 / 6.360E+00 1.878E+01 meV; Val= 0/15
 Epoch     34/   200; Mu= 1.E-02; Perform= 4.035E+00 1.514E+01 / 6.354E+00 1.894E+01 meV; Val= 0/15
 Epoch     35/   200; Mu= 1.E-02; Perform= 4.019E+00 1.496E+01 / 6.344E+00 1.885E+01 meV; Val= 0/15
 Epoch     36/   200; Mu= 1.E-02; Perform= 4.018E+00 1.535E+01 / 6.342E+00 1.887E+01 meV; Val= 0/15
 Epoch     37/   200; Mu= 1.E-02; Perform= 4.012E+00 1.479E+01 / 6.328E+00 1.889E+01 meV; Val= 0/15
 Epoch     38/   200; Mu= 1.E-01; Perform= 4.006E+00 1.529E+01 / 6.342E+00 1.906E+01 meV; Val= 1/15
 Epoch     39/   200; Mu= 1.E-02; Perform= 3.993E+00 1.470E+01 / 6.326E+00 1.888E+01 meV; Val= 0/15
 Epoch     40/   200; Mu= 1.E-01; Perform= 3.977E+00 1.503E+01 / 6.337E+00 1.914E+01 meV; Val= 1/15
 Epoch     41/   200; Mu= 1.E-02; Perform= 3.971E+00 1.466E+01 / 6.328E+00 1.892E+01 meV; Val= 0/15
 Epoch     42/   200; Mu= 1.E-02; Perform= 3.961E+00 1.523E+01 / 6.324E+00 1.908E+01 meV; Val= 0/15
 Epoch     43/   200; Mu= 1.E-02; Perform= 3.953E+00 1.445E+01 / 6.317E+00 1.910E+01 meV; Val= 0/15
 Epoch     44/   200; Mu= 1.E-02; Perform= 3.940E+00 1.511E+01 / 6.315E+00 1.935E+01 meV; Val= 0/15
