 Fitting the PES based on the embedded atom neural network
 Based on the idea of embeeding atomic method
 done: readinput
 done: allocate_all
 done: get_index
 1   82   82
 111000  |11000
 done: readcoor
 the total parameter: allnw=        6150
 the total wave parameter: wave_allnw=         297
 number of configurations used for training        9900
 number of AtNN           1
 number of neuron of output layer           1
        1.00000000       10.00000000
 maximal angular moment L           2
 number of GTO-type radial function    10    10    10
      9    82   246 11000
 Ru      33   30   30    1
 C       33   30   30    1
 O       33   30   30    1
 2025/07/26  18:25:37.63
 Epoch     61/   200; Mu= 1.E-01; Perform= 4.223E+00 1.577E+01 / 5.152E+00 2.084E+01 meV; Val=10/15
 Epoch     62/   200; Mu= 1.E-01; Perform= 4.216E+00 1.573E+01 / 5.163E+00 2.082E+01 meV; Val=11/15
 Epoch     63/   200; Mu= 1.E-01; Perform= 4.209E+00 1.570E+01 / 5.171E+00 2.081E+01 meV; Val=12/15
 Epoch     64/   200; Mu= 1.E-01; Perform= 4.202E+00 1.566E+01 / 5.177E+00 2.079E+01 meV; Val=13/15
 Epoch     65/   200; Mu= 1.E-01; Perform= 4.196E+00 1.563E+01 / 5.182E+00 2.079E+01 meV; Val=14/15
 Epoch     66/   200; Mu= 1.E-01; Perform= 4.190E+00 1.560E+01 / 5.186E+00 2.079E+01 meV; Val=15/15
 Total rmse_02=  16.7483 meV; Total force rmse_=  21.0532 meV/angstrom; train=  16.1340; validation=  21.5016force train=  20.7306; force validation=  23.7599
 2025/07/27  02:53:48.89
 2025/07/27  02:53:48.89
 Epoch      1/   200; Mu= 1.E-03; Perform= 2.061E+01 1.227E+02 / 2.291E+01 1.872E+02 meV; Val= 0/15
 Epoch      2/   200; Mu= 1.E-02; Perform= 1.348E+01 7.688E+01 / 1.406E+01 9.429E+01 meV; Val= 0/15
 Epoch      3/   200; Mu= 1.E-02; Perform= 1.025E+01 6.040E+01 / 1.160E+01 6.661E+01 meV; Val= 0/15
 Epoch      4/   200; Mu= 1.E-02; Perform= 9.027E+00 5.355E+01 / 1.058E+01 5.240E+01 meV; Val= 0/15
 Epoch      5/   200; Mu= 1.E-02; Perform= 7.971E+00 4.510E+01 / 1.025E+01 5.170E+01 meV; Val= 0/15
 Epoch      6/   200; Mu= 1.E-01; Perform= 5.307E+00 2.580E+01 / 7.771E+00 2.930E+01 meV; Val= 0/15
